question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
38,8,What happens first?,They meet friends,They find something,They clean up,They get ready,They find something,Sequence,2,False,0
39,8,What does the word 'bright' mean in the passage?,full of light,heavy,quiet,fast,full of light,Vocabulary,2,False,0
40,8,How does the main character feel at the end?,happy,sad,angry,tired,happy,Inference,2,False,0
41,9,What is the main idea of this story?,Working together,Doing homework,Visiting friends,Cooking food,Working together,Main Idea,3,False,0
42,9,Where does the story take place?,at school,at home,at the park,in a store,at school,Literal,3,False,0
43,9,What happens first?,They meet friends,They find something,They clean up,They get ready,They find something,Sequence,3,False,0
44,9,What does the word 'bright' mean in the passage?,full of light,heavy,quiet,fast,full of light,Vocabulary,3,False,0
45,9,How does the main character feel at the end?,happy,sad,angry,tired,happy,Inference,3,False,0
46,10,What is the main idea of this story?,Working together,Doing homework,Visiting friends,Cooking food,Working together,Main Idea,3,False,0
47,10,Where does the story take place?,at school,at home,at the park,in a store,at school,Literal,3,False,0
48,10,What happens first?,They meet friends,They find something,They clean up,They get ready,They find something,Sequence,3,False,0
49,10,What does the word 'bright' mean in the passage?,full of light,heavy,quiet,fast,full of light,Vocabulary,3,False,0
50,10,How does the main character feel at the end?,happy,sad,angry,tired,happy,Inference,3,False,0
51,11,What is the main idea of this story?,Working together,Doing homework,Visiting friends,Cooking food,Working together,Main Idea,3,False,0
52,11,Where does the story take place?,at school,at home,at the park,in a store,at school,Literal,3,False,0
53,11,What happens first?,They meet friends,They find something,They clean up,They get ready,They find something,Sequence,3,False,0
54,11,What does the word 'bright' mean in the passage?,full of light,heavy,quiet,fast,full of light,Vocabulary,3,False,0
55,11,How does the main character feel at the end?,happy,sad,angry,tired,happy,Inference,3,False,0
56,12,What is the main idea of this story?,Working together,Doing homework,Visiting friends,Cooking food,Working together,Main Idea,3,False,0
57,12,Where does the story take place?,at school,at home,at the park,in a store,at school,Literal,3,False,0
58,12,What happens first?,They meet friends,They find something,They clean up,They get ready,They find something,Sequence,3,False,0
59,12,What does the word 'bright' mean in the passage?,full of light,heavy,quiet,fast,full of light,Vocabulary,3,False,0
60,12,How does the main character feel at the end?,happy,sad,angry,tired,happy,Inference,3,False,0
