global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level
49,210,40,L2-10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,False,0,2
50,211,41,L2-11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,False,0,2
51,211,42,L2-11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,False,0,2
52,211,43,L2-11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,False,0,2
53,211,44,L2-11,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1,False,0,2
54,212,45,L2-12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,False,0,2
55,212,46,L2-12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,False,0,2
56,212,47,L2-12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,False,0,2
57,212,48,L2-12,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1,False,0,2
58,213,49,L2-13,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains how our class ran a recycling project.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains how our class ran a recycling project.,Literal,1,False,0,2
59,213,50,L2-13,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains how our class ran a recycling project.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains how our class ran a recycling project.,Literal,1,False,0,2
60,301,1,L3-1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1,False,0,3
61,301,2,L3-1,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mina and alex worked hard on their science project..,"It lists random, unrelated facts.",It explains mina and alex worked hard on their science project..,Literal,1,False,0,3
62,301,3,L3-1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1,False,0,3
63,301,4,L3-1,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Vocabulary,1,False,0,3
64,301,5,L3-1,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1,False,0,3
65,401,1,L4-1,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains ben sat at the lunch table, staring at the yellow.","It lists random, unrelated facts.","It explains ben sat at the lunch table, staring at the yellow.",Literal,1,False,0,4
66,401,2,L4-1,What important decision does the main character make?,to help someone,to hide the truth,to skip homework,to travel,to help someone,Detail,1,False,0,4
67,401,3,L4-1,What does the word 'bright' most likely mean in this story?,full of light,angry,quiet,fast,full of light,Vocabulary,1,False,0,4
68,401,4,L4-1,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1,False,0,4
69,401,5,L4-1,What is the main lesson or theme of the story?,honesty,teamwork,kindness,bravery,kindness,Theme,1,False,0,4
70,501,1,L5-1,Where does most of the story 'The Promise at the River' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,False,0,5
71,501,2,L5-1,What decision changes the main character’s path in 'The Promise at the River'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,False,0,5
72,501,3,L5-1,"In 'The Promise at the River', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,False,0,5
73,501,4,L5-1,Why does the main character act differently near the end of 'The Promise at the River'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,False,0,5
74,501,5,L5-1,What is the central theme of 'The Promise at the River'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,False,0,5
75,501,6,L5-1,How does the author make the ending of 'The Promise at the River' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,False,0,5
76,502,7,L5-2,Where does most of the story 'The Secret Notebook' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,False,0,5
77,502,8,L5-2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains when leenaõs grandfather passed away, the house felt full of.","It explains when leenaõs grandfather passed away, the house felt full of.",Literal,1,False,0,5
78,502,9,L5-2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Vocabulary,1,False,0,5
79,502,10,L5-2,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1,False,0,5
80,502,11,L5-2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1,False,0,5
81,502,12,L5-2,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1,False,0,5
82,503,13,L5-3,Where does most of the story 'The Music Box' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,False,0,5
83,503,14,L5-3,What decision changes the main character’s path in 'The Music Box'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,False,0,5
84,503,15,L5-3,"In 'The Music Box', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,False,0,5
85,503,16,L5-3,Why does the main character act differently near the end of 'The Music Box'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,False,0,5
86,503,17,L5-3,What is the central theme of 'The Music Box'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,False,0,5
87,503,18,L5-3,How does the author make the ending of 'The Music Box' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,False,0,5
88,504,19,L5-4,Where does most of the story 'The Bridge at East Gate' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,False,0,5
89,504,20,L5-4,What decision changes the main character’s path in 'The Bridge at East Gate'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,False,0,5
90,504,21,L5-4,"In 'The Bridge at East Gate', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,False,0,5
91,504,22,L5-4,Why does the main character act differently near the end of 'The Bridge at East Gate'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,False,0,5
92,504,23,L5-4,What is the central theme of 'The Bridge at East Gate'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,False,0,5
93,504,24,L5-4,How does the author make the ending of 'The Bridge at East Gate' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,False,0,5
94,505,25,L5-5,Where does most of the story 'The Protest Tree' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,False,0,5
95,505,26,L5-5,What decision changes the main character’s path in 'The Protest Tree'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,False,0,5
96,505,27,L5-5,"In 'The Protest Tree', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,False,0,5
97,505,28,L5-5,Why does the main character act differently near the end of 'The Protest Tree'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,False,0,5
98,505,29,L5-5,What is the central theme of 'The Protest Tree'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,False,0,5
99,505,30,L5-5,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,"In The summer of 1963, the",A Day at the Beach,"In The summer of 1963, the",Literal,2,False,0,5
100,506,31,L5-6,Where does most of the story 'The Tunnel Light' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3,False,0,5
101,506,32,L5-6,What decision changes the main character’s path in 'The Tunnel Light'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3,False,0,5
102,506,33,L5-6,"In 'The Tunnel Light', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3,False,0,5
103,506,34,L5-6,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,3,False,0,5
104,506,35,L5-6,What is the central theme of 'The Tunnel Light'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3,False,0,5
105,506,36,L5-6,What is the best title for this passage?,Why Rules Matter,The Engineers said the city still,A Day at the Beach,How to Build a Robot,The Engineers said the city still,Literal,3,False,0,5
106,507,37,L5-7,Where does most of the story 'The Letter from Winter Hill' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3,False,0,5
107,507,38,L5-7,What decision changes the main character’s path in 'The Letter from Winter Hill'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3,False,0,5
108,507,39,L5-7,"In 'The Letter from Winter Hill', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3,False,0,5
109,507,40,L5-7,Why does the main character act differently near the end of 'The Letter from Winter Hill'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3,False,0,5
110,507,41,L5-7,What is the central theme of 'The Letter from Winter Hill'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3,False,0,5
111,507,42,L5-7,How does the author make the ending of 'The Letter from Winter Hill' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3,False,0,5
112,508,43,L5-8,Where does most of the story 'The Stone Lantern' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3,False,0,5
113,508,44,L5-8,What decision changes the main character’s path in 'The Stone Lantern'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3,False,0,5
114,508,45,L5-8,"In 'The Stone Lantern', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3,False,0,5
115,508,46,L5-8,Why does the main character act differently near the end of 'The Stone Lantern'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3,False,0,5
116,508,47,L5-8,What is the central theme of 'The Stone Lantern'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3,False,0,5
117,508,48,L5-8,How does the author make the ending of 'The Stone Lantern' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3,False,0,5
118,509,49,L5-9,Where does most of the story 'The Signal Tower' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3,False,0,5
119,509,50,L5-9,What decision changes the main character’s path in 'The Signal Tower'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3,False,0,5
120,509,51,L5-9,"In 'The Signal Tower', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3,False,0,5
121,509,52,L5-9,Why does the main character act differently near the end of 'The Signal Tower'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3,False,0,5
122,509,53,L5-9,What is the central theme of 'The Signal Tower'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3,False,0,5
123,509,54,L5-9,How does the author make the ending of 'The Signal Tower' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3,False,0,5
124,510,55,L5-10,Where does most of the story 'The Invisible Line' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,False,0,5
125,510,56,L5-10,What decision changes the main character’s path in 'The Invisible Line'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,False,0,5
126,510,57,L5-10,"In 'The Invisible Line', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,False,0,5
127,510,58,L5-10,Why does the main character act differently near the end of 'The Invisible Line'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,False,0,5
128,510,59,L5-10,What is the central theme of 'The Invisible Line'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,False,0,5
129,510,60,L5-10,How does the author make the ending of 'The Invisible Line' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,False,0,5
130,511,61,L5-11,Where does most of the story 'The Debate Club' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2,False,0,5
131,511,62,L5-11,What decision changes the main character’s path in 'The Debate Club'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2,False,0,5
132,511,63,L5-11,"In 'The Debate Club', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2,False,0,5
133,511,64,L5-11,Why does the main character act differently near the end of 'The Debate Club'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2,False,0,5
134,511,65,L5-11,What is the central theme of 'The Debate Club'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2,False,0,5
135,511,66,L5-11,How does the author make the ending of 'The Debate Club' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2,False,0,5
136,512,67,L5-12,Where does most of the story 'The Late Swimmer' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1,False,0,5
137,512,68,L5-12,What decision changes the main character’s path in 'The Late Swimmer'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1,False,0,5
138,512,69,L5-12,"In 'The Late Swimmer', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1,False,0,5
139,512,70,L5-12,Why does the main character act differently near the end of 'The Late Swimmer'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1,False,0,5
140,512,71,L5-12,What is the central theme of 'The Late Swimmer'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1,False,0,5
141,512,72,L5-12,How does the author make the ending of 'The Late Swimmer' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1,False,0,5
142,601,1,L6-1,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1,False,0,6
143,601,2,L6-1,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1,False,0,6
144,601,3,L6-1,"In 'The Harvest Debt', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,False,0,6
145,601,4,L6-1,Why does the main character act differently near the end of 'The Harvest Debt'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,False,0,6
146,601,5,L6-1,What is the best title for this passage?,A Day at the Beach,How to Build a Robot,Why Rules Matter,The Dust fields stretched to the,The Dust fields stretched to the,Literal,1,False,0,6
147,601,6,L6-1,How does the author make the ending of 'The Harvest Debt' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,False,0,6
148,602,7,L6-2,What is the main setting of 'The Bridge Shift'?,a river valley,a city,a house,a tower,a city,Literal,1,False,0,6
149,602,8,L6-2,What action changes the direction of events in 'The Bridge Shift'?,a brave decision,an accident,a lie told by a friend,a letter found,a brave decision,Detail,1,False,0,6
150,602,9,L6-2,"In 'The Bridge Shift', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1,False,0,6
151,602,10,L6-2,Why does the main character act differently near the end of 'The Bridge Shift'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1,False,0,6
152,602,11,L6-2,What is the central theme of 'The Bridge Shift'?,freedom and responsibility,luck and chance,technology and control,friendship and humor,freedom and responsibility,Theme,1,False,0,6
153,602,12,L6-2,How does the author make the ending of 'The Bridge Shift' powerful?,by using imagery and reflection,by adding a twist,by introducing a new character,by ending in a question,by using imagery and reflection,Evaluation,1,False,0,6
154,603,13,L6-3,What is the main setting of 'The Last Contract'?,a river valley,a city,a house,a tower,a city,Literal,1,False,0,6
