global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level
46,210.0,37.0,10.0,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1.0,False,0,2
47,210.0,38.0,10.0,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1.0,False,0,2
48,210.0,39.0,10.0,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1.0,False,0,2
49,210.0,40.0,10.0,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1.0,False,0,2
50,211.0,41.0,11.0,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1.0,False,0,2
51,211.0,42.0,11.0,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1.0,False,0,2
52,211.0,43.0,11.0,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1.0,False,0,2
53,211.0,44.0,11.0,Which statement best summarizes this passage?,"It explains every sunday, i visit grandma..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains every sunday, i visit grandma..",Literal,1.0,False,0,2
54,212.0,45.0,12.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1.0,False,0,2
55,212.0,46.0,12.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1.0,False,0,2
56,212.0,47.0,12.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1.0,False,0,2
57,212.0,48.0,12.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains one night, i heard a sound outside my window..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains one night, i heard a sound outside my window..",Literal,1.0,False,0,2
58,213.0,49.0,13.0,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains the passage.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains the passage.,Literal,1.0,False,0,2
59,213.0,50.0,13.0,Which statement best summarizes this passage?,It argues that homework should be banned.,It explains the passage.,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It explains the passage.,Literal,1.0,False,0,2
60,301.0,1.0,1.0,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1.0,False,0,3
61,301.0,2.0,1.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mina and alex worked hard on their science project..,"It lists random, unrelated facts.",It explains mina and alex worked hard on their science project..,Literal,1.0,False,0,3
62,301.0,3.0,1.0,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Literal,1.0,False,0,3
63,301.0,4.0,1.0,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,Mina And Alex worked hard on,A Day at the Beach,Mina And Alex worked hard on,Vocabulary,1.0,False,0,3
64,301.0,5.0,1.0,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1.0,False,0,3
65,401.0,1.0,1.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains ben sat at the lunch table, staring at the yellow.","It lists random, unrelated facts.","It explains ben sat at the lunch table, staring at the yellow.",Literal,1.0,False,0,4
66,401.0,2.0,1.0,What important decision does the main character make?,to help someone,to hide the truth,to skip homework,to travel,to help someone,Detail,1.0,False,0,4
67,401.0,3.0,1.0,What does the word 'bright' most likely mean in this story?,full of light,angry,quiet,fast,full of light,Vocabulary,1.0,False,0,4
68,401.0,4.0,1.0,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1.0,False,0,4
69,401.0,5.0,1.0,What is the main lesson or theme of the story?,honesty,teamwork,kindness,bravery,kindness,Theme,1.0,False,0,4
70,501.0,1.0,1.0,Where does most of the story 'The Promise at the River' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1.0,False,0,5
71,501.0,2.0,1.0,What decision changes the main character’s path in 'The Promise at the River'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1.0,False,0,5
72,501.0,3.0,1.0,"In 'The Promise at the River', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1.0,False,0,5
73,501.0,4.0,1.0,Why does the main character act differently near the end of 'The Promise at the River'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1.0,False,0,5
74,501.0,5.0,1.0,What is the central theme of 'The Promise at the River'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1.0,False,0,5
75,501.0,6.0,1.0,How does the author make the ending of 'The Promise at the River' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1.0,False,0,5
76,502.0,7.0,2.0,Where does most of the story 'The Secret Notebook' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1.0,False,0,5
77,502.0,8.0,2.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains when leenaõs grandfather passed away, the house felt full of.","It explains when leenaõs grandfather passed away, the house felt full of.",Literal,1.0,False,0,5
78,502.0,9.0,2.0,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Vocabulary,1.0,False,0,5
79,502.0,10.0,2.0,What is the author's main purpose in this passage?,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To entertain with a fantasy story.,To inform readers about a topic.,Inference,1.0,False,0,5
80,502.0,11.0,2.0,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1.0,False,0,5
81,502.0,12.0,2.0,What is the best title for this passage?,Why Rules Matter,"When LeenaÕs Grandfather passed away, the",A Day at the Beach,How to Build a Robot,"When LeenaÕs Grandfather passed away, the",Literal,1.0,False,0,5
82,503.0,13.0,3.0,Where does most of the story 'The Music Box' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1.0,False,0,5
83,503.0,14.0,3.0,What decision changes the main character’s path in 'The Music Box'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1.0,False,0,5
84,503.0,15.0,3.0,"In 'The Music Box', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1.0,False,0,5
85,503.0,16.0,3.0,Why does the main character act differently near the end of 'The Music Box'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1.0,False,0,5
86,503.0,17.0,3.0,What is the central theme of 'The Music Box'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1.0,False,0,5
87,503.0,18.0,3.0,How does the author make the ending of 'The Music Box' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1.0,False,0,5
88,504.0,19.0,4.0,Where does most of the story 'The Bridge at East Gate' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2.0,False,0,5
89,504.0,20.0,4.0,What decision changes the main character’s path in 'The Bridge at East Gate'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2.0,False,0,5
90,504.0,21.0,4.0,"In 'The Bridge at East Gate', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2.0,False,0,5
91,504.0,22.0,4.0,Why does the main character act differently near the end of 'The Bridge at East Gate'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2.0,False,0,5
92,504.0,23.0,4.0,What is the central theme of 'The Bridge at East Gate'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2.0,False,0,5
93,504.0,24.0,4.0,How does the author make the ending of 'The Bridge at East Gate' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2.0,False,0,5
94,505.0,25.0,5.0,Where does most of the story 'The Protest Tree' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2.0,False,0,5
95,505.0,26.0,5.0,What decision changes the main character’s path in 'The Protest Tree'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2.0,False,0,5
96,505.0,27.0,5.0,"In 'The Protest Tree', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2.0,False,0,5
97,505.0,28.0,5.0,Why does the main character act differently near the end of 'The Protest Tree'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2.0,False,0,5
98,505.0,29.0,5.0,What is the central theme of 'The Protest Tree'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2.0,False,0,5
99,505.0,30.0,5.0,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,"In The summer of 1963, the",A Day at the Beach,"In The summer of 1963, the",Literal,2.0,False,0,5
100,506.0,31.0,6.0,Where does most of the story 'The Tunnel Light' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3.0,False,0,5
101,506.0,32.0,6.0,What decision changes the main character’s path in 'The Tunnel Light'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3.0,False,0,5
102,506.0,33.0,6.0,"In 'The Tunnel Light', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3.0,False,0,5
103,506.0,34.0,6.0,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,3.0,False,0,5
104,506.0,35.0,6.0,What is the central theme of 'The Tunnel Light'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3.0,False,0,5
105,506.0,36.0,6.0,What is the best title for this passage?,Why Rules Matter,The Engineers said the city still,A Day at the Beach,How to Build a Robot,The Engineers said the city still,Literal,3.0,False,0,5
106,507.0,37.0,7.0,Where does most of the story 'The Letter from Winter Hill' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3.0,False,0,5
107,507.0,38.0,7.0,What decision changes the main character’s path in 'The Letter from Winter Hill'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3.0,False,0,5
108,507.0,39.0,7.0,"In 'The Letter from Winter Hill', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3.0,False,0,5
109,507.0,40.0,7.0,Why does the main character act differently near the end of 'The Letter from Winter Hill'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3.0,False,0,5
110,507.0,41.0,7.0,What is the central theme of 'The Letter from Winter Hill'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3.0,False,0,5
111,507.0,42.0,7.0,How does the author make the ending of 'The Letter from Winter Hill' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3.0,False,0,5
112,508.0,43.0,8.0,Where does most of the story 'The Stone Lantern' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3.0,False,0,5
113,508.0,44.0,8.0,What decision changes the main character’s path in 'The Stone Lantern'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3.0,False,0,5
114,508.0,45.0,8.0,"In 'The Stone Lantern', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3.0,False,0,5
115,508.0,46.0,8.0,Why does the main character act differently near the end of 'The Stone Lantern'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3.0,False,0,5
116,508.0,47.0,8.0,What is the central theme of 'The Stone Lantern'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3.0,False,0,5
117,508.0,48.0,8.0,How does the author make the ending of 'The Stone Lantern' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3.0,False,0,5
118,509.0,49.0,9.0,Where does most of the story 'The Signal Tower' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,3.0,False,0,5
119,509.0,50.0,9.0,What decision changes the main character’s path in 'The Signal Tower'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,3.0,False,0,5
120,509.0,51.0,9.0,"In 'The Signal Tower', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,3.0,False,0,5
121,509.0,52.0,9.0,Why does the main character act differently near the end of 'The Signal Tower'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,3.0,False,0,5
122,509.0,53.0,9.0,What is the central theme of 'The Signal Tower'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,3.0,False,0,5
123,509.0,54.0,9.0,How does the author make the ending of 'The Signal Tower' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,3.0,False,0,5
124,510.0,55.0,10.0,Where does most of the story 'The Invisible Line' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2.0,False,0,5
125,510.0,56.0,10.0,What decision changes the main character’s path in 'The Invisible Line'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2.0,False,0,5
126,510.0,57.0,10.0,"In 'The Invisible Line', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2.0,False,0,5
127,510.0,58.0,10.0,Why does the main character act differently near the end of 'The Invisible Line'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2.0,False,0,5
128,510.0,59.0,10.0,What is the central theme of 'The Invisible Line'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2.0,False,0,5
129,510.0,60.0,10.0,How does the author make the ending of 'The Invisible Line' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2.0,False,0,5
130,511.0,61.0,11.0,Where does most of the story 'The Debate Club' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,2.0,False,0,5
131,511.0,62.0,11.0,What decision changes the main character’s path in 'The Debate Club'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,2.0,False,0,5
132,511.0,63.0,11.0,"In 'The Debate Club', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,2.0,False,0,5
133,511.0,64.0,11.0,Why does the main character act differently near the end of 'The Debate Club'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,2.0,False,0,5
134,511.0,65.0,11.0,What is the central theme of 'The Debate Club'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,2.0,False,0,5
135,511.0,66.0,11.0,How does the author make the ending of 'The Debate Club' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,2.0,False,0,5
136,512.0,67.0,12.0,Where does most of the story 'The Late Swimmer' take place?,at school,by the river,inside a house,in a city square,by the river,Literal,1.0,False,0,5
137,512.0,68.0,12.0,What decision changes the main character’s path in 'The Late Swimmer'?,to help another person,to run away,to hide the truth,to give up,to help another person,Detail,1.0,False,0,5
138,512.0,69.0,12.0,"In 'The Late Swimmer', what does a repeated image or object (such as 'light', 'river', or 'bridge') symbolize?",hope and renewal,anger and fear,sadness and regret,wealth and power,hope and renewal,Vocabulary,1.0,False,0,5
139,512.0,70.0,12.0,Why does the main character act differently near the end of 'The Late Swimmer'?,they understand a deeper truth,they are punished,they are afraid,they forget their goal,they understand a deeper truth,Inference,1.0,False,0,5
140,512.0,71.0,12.0,What is the central theme of 'The Late Swimmer'?,courage and empathy,luck and chance,competition and victory,mystery and fear,courage and empathy,Theme,1.0,False,0,5
141,512.0,72.0,12.0,How does the author make the ending of 'The Late Swimmer' powerful?,by using vivid imagery and reflection,by adding a surprise villain,by changing the narrator,by ending in a joke,by using vivid imagery and reflection,Evaluation,1.0,False,0,5
142,601.0,1.0,1.0,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1.0,False,0,6
143,601.0,2.0,1.0,Which statement best summarizes this passage?,"It explains the dust fields stretched to the horizon, brown waves under.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains the dust fields stretched to the horizon, brown waves under.",Literal,1.0,False,0,6
144,601.0,3.0,1.0,"In 'The Harvest Debt', what does a repeated image or object symbolize?",hope,fear,confusion,wealth,hope,Vocabulary,1.0,False,0,6
145,601.0,4.0,1.0,Why does the main character act differently near the end of 'The Harvest Debt'?,they realize a truth,they are forced,they win a prize,they run away,they realize a truth,Inference,1.0,False,0,6
