id,created_at,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,section,question_type,level,difficulty,random_order,type,manual_review,media_url,updated_at,used_count
38,2025-10-16,She won’t eat vegetables ___ it is fully cooked.,unless,in case,if,when,unless,Grammar,multiple choice,7,2,True,word usage and conjunctions,False,,2025-10-16,0
39,2025-10-16,You can borrow my computer ___ you don’t stay up all night.,as long as,when,in case,except,as long as,Grammar,multiple choice,7,2,True,word usage and conjunctions,False,,2025-10-16,0
40,2025-10-16,"The day went on, the coronavirus got worse.",as,when,if,unless,as,Grammar,multiple choice,7,2,True,word usage and conjunctions,False,,2025-10-16,0
41,2025-10-16,Our company employs 300 people → 300 people ___ by our company.,are employed,employed,had employed,have employed,are employed,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
42,2025-10-16,A car hit my friend on the street → My friend ___ by a car.,got hit,hit,be hit,got hitted,got hit,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
43,2025-10-16,"I don’t have many friends, so I ___ often invited to parties.",am not,am,was not,was,am not,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
44,2025-10-16,Somebody should have cleaned this room. It is so dirty.,should have cleaned,would have cleaned,could have cleaned,must have cleaned,should have cleaned,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
45,2025-10-16,I wonder how Susan is these days. I ___ her for ages.,haven’t seen,never seen,have seen,hadn’t seen,haven’t seen,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
46,2025-10-16,I don’t like ___ what to do. I prefer choosing by myself.,being told,being,be told,told,being told,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
47,2025-10-16,"I ___ a nice position, but I refused it.",was offered,offered,was provided,provided,was offered,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
48,2025-10-16,Very little ___ about the new neighbor.,was known,known,had been known,was knowing,was known,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
49,2025-10-16,You should ___ quickly. We need to leave soon.,get dressed,get married,get lost,get off,get dressed,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
50,2025-10-16,I hate ___ waiting. I have other plans too.,being kept,kept,keeping,been kept,being kept,Grammar,multiple choice,7,3,True,passive and causative structures,False,,2025-10-16,0
