question_id,dialog_id,level,grammar_target,dialog_text,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
11,4,5,conditionals (mixed),"A: If we finish early, we can go for coffee.
B: What if we don’t?
A: Then we’ll just order takeout here.",What does 'if' introduce?,A condition,A result,A reason,A contrast,A condition,Grammar,5,False,0
12,4,5,conditionals (mixed),"A: If we finish early, we can go for coffee.
B: What if we don’t?
A: Then we’ll just order takeout here.",What will they do if they don’t finish early?,Order takeout,Go for coffee,Leave,Sleep,Order takeout,Inference,5,False,0
13,5,5,indirect questions,"A: Do you know where the meeting is being held?
B: Yes, it’s in Room 305.
A: Thanks! I always get lost in this building.",Where is the meeting?,Room 205,Room 305,Room 405,Room 505,Room 305,Comprehension,5,False,0
14,5,5,indirect questions,"A: Do you know where the meeting is being held?
B: Yes, it’s in Room 305.
A: Thanks! I always get lost in this building.",What structure shows an indirect question?,Do you know where…,Where is…,Can you…,Who…,Do you know where…,Grammar,5,False,0
15,5,5,indirect questions,"A: Do you know where the meeting is being held?
B: Yes, it’s in Room 305.
A: Thanks! I always get lost in this building.",Why does the speaker thank the other?,For giving directions,For lending money,For helping with homework,For opening the door,For giving directions,Function,5,False,0
16,6,5,modals (may/might),"A: Do you think it will snow this weekend?
B: It might. The weather is getting colder.
A: I hope it does!",What are they talking about?,The weather,A trip,Homework,Sports,The weather,Comprehension,5,False,0
17,6,5,modals (may/might),"A: Do you think it will snow this weekend?
B: It might. The weather is getting colder.
A: I hope it does!",Which modal shows possibility?,Might,Must,Can,Should,Might,Grammar,5,False,0
18,6,5,modals (may/might),"A: Do you think it will snow this weekend?
B: It might. The weather is getting colder.
A: I hope it does!",What does the boy hope?,That it will snow,That it will rain,That it will be sunny,That it will be warm,That it will snow,Inference,5,False,0
19,7,5,functional language (opinions),"A: I think students should wear uniforms.
B: Really? I disagree. Uniforms take away individuality.
A: Maybe, but they make everyone equal.",What is the topic of their discussion?,School uniforms,Sports,Homework,Exams,School uniforms,Comprehension,5,False,0
20,7,5,functional language (opinions),"A: I think students should wear uniforms.
B: Really? I disagree. Uniforms take away individuality.
A: Maybe, but they make everyone equal.",Which word introduces opinion?,I think,Should,Maybe,Equal,I think,Grammar,5,False,0
21,7,5,functional language (opinions),"A: I think students should wear uniforms.
B: Really? I disagree. Uniforms take away individuality.
A: Maybe, but they make everyone equal.",Why does the boy disagree?,Uniforms reduce individuality,Uniforms are expensive,Uniforms are uncomfortable,Uniforms are ugly,Uniforms reduce individuality,Inference,5,False,0
22,8,5,reported requests,"A: Did the manager say anything?
B: Yes, he asked us to send the report by tomorrow.
A: Then we’d better start now.",What did the manager ask?,To send the report,To cancel the meeting,To take a break,To finish early,To send the report,Comprehension,5,False,0
23,8,5,reported requests,"A: Did the manager say anything?
B: Yes, he asked us to send the report by tomorrow.
A: Then we’d better start now.",Which form shows a reported request?,Asked us to…,Said we…,Told us that…,Wanted we…,Asked us to…,Grammar,5,False,0
24,8,5,reported requests,"A: Did the manager say anything?
B: Yes, he asked us to send the report by tomorrow.
A: Then we’d better start now.",When must they send the report?,Tomorrow,Today,Next week,Tonight,Tomorrow,Detail,5,False,0
25,9,5,second conditional,"A: If you won the lottery, what would you do?
B: I’d travel around the world.
A: I’d start a charity!",What would the boy do if he won?,Travel the world,Buy a car,Build a house,Quit his job,Travel the world,Comprehension,5,False,0
26,9,5,second conditional,"A: If you won the lottery, what would you do?
B: I’d travel around the world.
A: I’d start a charity!",Which word shows an unreal condition?,Would,If,Won,Do,Would,Grammar,5,False,0
27,9,5,second conditional,"A: If you won the lottery, what would you do?
B: I’d travel around the world.
A: I’d start a charity!",What would the girl do?,Start a charity,Travel the world,Save the money,Buy a plane,Start a charity,Detail,5,False,0
28,10,5,passive voice (process),"A: How is chocolate made?
B: It’s made from cocoa beans that are dried, roasted, and ground into powder.",What is chocolate made from?,Cocoa beans,Coffee beans,Sugar cane,Milk,Cocoa beans,Comprehension,5,False,0
29,10,5,passive voice (process),"A: How is chocolate made?
B: It’s made from cocoa beans that are dried, roasted, and ground into powder.",Which word shows passive form?,Made,From,Roasted,Ground,Made,Grammar,5,False,0
30,10,5,passive voice (process),"A: How is chocolate made?
B: It’s made from cocoa beans that are dried, roasted, and ground into powder.",What happens after the beans are roasted?,They are ground into powder,They are melted,They are eaten,They are mixed with milk,They are ground into powder,Detail,5,False,0
