global_dialog_id,question_id,dialog_id,level,grammar_target,dialog_text,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
304,11,4,3,adverbs of frequency,"A: How often do you go to the gym?
B: I go three times a week, but I sometimes skip Sunday.",What word shows frequency?,Week,Skip,Go,Sometimes,Sometimes,Grammar,3,False,0
304,12,4,3,adverbs of frequency,"A: How often do you go to the gym?
B: I go three times a week, but I sometimes skip Sunday.",What day does she skip?,Saturday,Sunday,Friday,Monday,Sunday,Detail,3,False,0
305,13,5,3,prepositions of time,"A: When is your birthday?
B: It’s on March 15th.
A: Mine is in May!",When is her birthday?,April 15th,March 15th,June 15th,May 15th,March 15th,Comprehension,3,False,0
305,14,5,3,prepositions of time,"A: When is your birthday?
B: It’s on March 15th.
A: Mine is in May!",Which preposition is used with dates?,From,At,On,In,On,Grammar,3,False,0
305,15,5,3,prepositions of time,"A: When is your birthday?
B: It’s on March 15th.
A: Mine is in May!",When is the boy’s birthday?,In April,In June,In May,In March,In May,Detail,3,False,0
306,16,6,3,functional language (opinions),"A: What do you think about the new cafeteria?
B: It’s better than before, but the food is still cold.
A: Yeah, I agree.",What does the boy think about the cafeteria?,It’s worse,It’s new,It’s closed,It’s better,It’s better,Comprehension,3,False,0
306,17,6,3,functional language (opinions),"A: What do you think about the new cafeteria?
B: It’s better than before, but the food is still cold.
A: Yeah, I agree.",What phrase shows agreement?,It’s better,I agree,I think,New cafeteria,I agree,Grammar,3,False,0
306,18,6,3,functional language (opinions),"A: What do you think about the new cafeteria?
B: It’s better than before, but the food is still cold.
A: Yeah, I agree.",What is still cold?,The drink,The room,The table,The food,The food,Detail,3,False,0
307,19,7,3,sequence words,"A: First, we mix the flour and sugar. Then, we add eggs.
B: Finally, we bake it for 30 minutes.",What are they making?,Pasta,Cookies,Salad,Cake,Cake,Inference,3,False,0
307,20,7,3,sequence words,"A: First, we mix the flour and sugar. Then, we add eggs.
B: Finally, we bake it for 30 minutes.",What word shows the last step?,Then,Mix,Finally,Add,Finally,Grammar,3,False,0
307,21,7,3,sequence words,"A: First, we mix the flour and sugar. Then, we add eggs.
B: Finally, we bake it for 30 minutes.",How long do they bake it?,30 minutes,10 minutes,40 minutes,20 minutes,30 minutes,Detail,3,False,0
308,22,8,3,past continuous,"A: What were you doing at 8 last night?
B: I was watching TV with my family.
A: Me too!",What was he doing last night?,Watching TV,Reading,Sleeping,Cooking,Watching TV,Comprehension,3,False,0
308,23,8,3,past continuous,"A: What were you doing at 8 last night?
B: I was watching TV with my family.
A: Me too!",Which tense describes ongoing past action?,Present,Simple Past,Future,Past Continuous,Past Continuous,Grammar,3,False,0
308,24,8,3,past continuous,"A: What were you doing at 8 last night?
B: I was watching TV with my family.
A: Me too!",Who was he with?,Alone,His family,His friends,His teacher,His family,Detail,3,False,0
309,25,9,3,modals (must),"A: You must wear your seatbelt in the car.
B: Yes, safety first!",What must the person do?,Use the phone,Turn off lights,Drive fast,Wear a seatbelt,Wear a seatbelt,Comprehension,3,False,0
309,26,9,3,modals (must),"A: You must wear your seatbelt in the car.
B: Yes, safety first!",What modal verb shows rule or obligation?,May,Should,Must,Can,Must,Grammar,3,False,0
309,27,9,3,modals (must),"A: You must wear your seatbelt in the car.
B: Yes, safety first!",Why must they wear it?,For comfort,For style,For fun,For safety,For safety,Inference,3,False,0
310,28,10,3,functional language (requests/offers),"A: Can you help me carry these books?
B: Of course! Let me take some.
A: Thanks a lot.",What does the girl ask for?,Permission,Money,Help,Advice,Help,Comprehension,3,False,0
310,29,10,3,functional language (requests/offers),"A: Can you help me carry these books?
B: Of course! Let me take some.
A: Thanks a lot.",What phrase shows an offer?,Thanks a lot,Carry these,Can you help,Let me take some,Let me take some,Grammar,3,False,0
310,30,10,3,functional language (requests/offers),"A: Can you help me carry these books?
B: Of course! Let me take some.
A: Thanks a lot.",How does the boy respond?,He laughs,He ignores her,He refuses,He agrees to help,He agrees to help,Function,3,False,0
